uuid,viewpoint
00136f49-1704-4033-a95b-8ebc6be819a9,left
0026f86d-0d45-4aec-9591-2bccfd5099f1,right
002a85c5-0160-4ce4-927c-861124d327d7,right
0031956d-e2bc-4463-a4e1-8e72d19ba07c,right
003f30aa-484a-4e24-b0b5-40eee3d6ac54,right
00543932-f001-4b17-9b2a-8e6feb675cb8,right
00555b30-b5fe-4917-a0d7-ba67d974d3d7,left
005fbfa9-eb47-4644-9e62-d8918544c78a,left
00607e4b-e654-4561-8ae2-ae79a55a56c8,right
00824f7d-3694-4703-922b-0d875f1c0270,right
009d9278-8d93-4463-9a14-c11126411540,left
009e788a-f2b9-4ef8-8b88-8ef947a914c6,right
00b0003c-c440-4ba2-aa8e-a901c7328b13,left
00c90d07-d76a-49d1-a41c-0f9b22b66f95,right
00d090d9-f417-4a90-aacc-feada090a54e,right
00d4b121-8964-4109-9c69-a9cab98cb429,left
00d78dc0-86e3-423f-85a0-a2f9162e403f,right
00dc019f-f017-49c3-a386-b0b953d98d16,right
00f23e8d-97c5-4c12-8dc3-0caa16a344ac,right
00fe8dd5-fa0c-4e13-a2fb-bb68050f12cd,right
0101d43f-8c10-4444-a705-531f16911cc8,left
0103dcb3-7f4d-4ea8-b1aa-0861d4c551d9,left
0104301e-253b-4d5d-aae2-72faad848928,right
010a2e82-e9b2-4416-98d0-d3bb1cab8f1e,right
010e1d6b-d380-4b45-a63a-ff47f6a940a7,right
01130804-5972-47a3-b26f-f4c3b69a8547,right
0113e94d-4a60-4703-97b7-b5a3af0393c5,left
011e5640-260f-4b57-8143-e0cf63fc8585,right
0124cf7f-7f00-4485-9d44-a1937ee8eb15,left
0126da49-4270-4f93-8d6a-e9de8de811aa,left
0139951b-d472-4c94-8adc-894b1e4bae43,right
01399e96-7018-44e4-ab22-6c66ba30be81,left
01416f04-881d-430c-be9c-2333bde643d8,right
01434372-6fc4-41ce-ae38-2f3ef4d77d11,left
0156f202-6a91-4696-a3ab-a05ca15bb653,left
0157d6e8-9314-44df-bc37-c9df75e3e15c,left
015beb5f-4e90-4146-94a1-d6c6f49131a4,left
0166dd13-c241-4dd2-8c55-8009b05a2732,left
016b610b-71e9-4be8-a88a-4b4b381022f8,left
01755aa6-f753-46ec-aafa-3493a826c1dc,right
017a15d4-4c87-40c4-9ddf-6230054817d9,right
017a4129-8506-49ea-8813-a65e30452d4d,left
017d2e63-e794-4fdb-be8a-90db275cba5b,left
017dd50c-8c2b-429e-aeb2-b403cbb32646,left
01896202-13e1-4e10-b176-9e211a4903b9,left
01940268-97ec-4ad8-a719-d01e8042e349,left
0198036f-0e02-4bb4-be2a-d4a38fb9c804,left
019b4c66-cde6-4b5d-ab13-fdd7e2de3a2c,left
01b9f96c-4c4f-41fb-a703-aee08fd13ace,left
01bada74-d516-4a02-9652-b0ec43e04b57,left
01c2b9d3-e9c7-47e2-9e91-ce6f0db28ac5,left
01c7197d-a54d-448b-a964-1531a4fedd88,right
01c719d7-62ed-440d-9129-5bf5c04a1fb4,left
01cbbc66-480b-4c27-874e-18b6c04a6a67,left
01e171df-3442-42a9-b4ba-968322b9be1d,left
01e465f8-43f3-47fe-a11b-e3ccc909eaf3,left
01eb389e-9e95-4dd8-a5ff-eaecb681af8b,left
02043cbb-bc75-4097-8e40-93ea0ce2c150,right
02078f06-b46e-4a26-8d57-72f14063399c,left
021b9144-0d57-4fdd-aff1-601dd463ac05,left
02239a67-356c-439b-8974-272ffb511897,right
022d9669-7020-4e6e-8b31-89c3885d9168,right
022da82a-a636-4c15-a2de-a6a45727d4be,left
0242a123-2b16-47bc-920c-7898996ee3dc,left
0251a7e0-8034-41b9-98e3-f02e4a828740,right
02600971-9ffd-470f-9c16-eea63d7d5241,right
0261d5f6-70d0-4be3-a487-189ffda0303d,left
026d6648-7202-454d-93b3-00b6aaf46f7d,left
0281de00-ec94-4898-8ab1-072a33a8bf60,left
028686a4-a22f-4b12-834b-fc2ab16da41a,right
02957440-b84d-45c3-8109-bafd5b71c99a,left
02a61619-72d0-4df5-b454-fcbe3fa3e778,left
02bdbda5-c559-4d3e-ba62-9ed383942cbc,left
02d76f32-d62f-417b-9c11-dee264b01e8c,left
02e5d774-e088-4e43-97aa-3b31f13f47dd,left
02f29615-3aae-43fe-8256-d99825428bd1,left
02f3c9a0-aaa1-4766-998e-0f21e4d1efb0,right
02f6762a-b08d-4368-a3f2-c9122f67cabd,left
030326f0-7cac-420c-bb32-d1ca8518d24a,left
03042ff5-286e-4234-9407-2f71e5e1b201,left
0309b6de-8f04-4388-94c1-c384edc25ad2,right
030f00bd-5c22-4f9a-b051-774bbe648374,left
0319d43e-7a6c-42cd-92de-8d88810a6ce7,right
031b4400-f9f7-47a7-8d33-3353ac1d2581,left
031c9a5e-b276-4394-bf2c-25fc84fca4ac,left
031e184e-76bc-465b-9afe-793a55157292,right
0328e476-e170-404d-b9e9-828dd2516fcc,left
032f5f62-6749-416f-b913-f0a4c3d074ae,right
0331a6c8-0943-4c74-b625-4625660b7629,left
0332d68e-3d31-481c-983b-7b8d68218531,left
03351de1-8072-4d68-92c4-048638875fa9,right
034015aa-e729-48ef-b441-2b70e72e7d2d,left
0344347a-acd4-4cbf-a580-e7606b479206,left
034d562b-11db-4277-bd74-8f1068219edf,left
0350e5bf-de4b-44f1-aa5c-be8b2cc97455,left
035f2466-3116-4bd3-a8a6-31c391af77a4,left
0381f86b-07f0-4174-af31-39260a672308,right
0384508f-fff9-49e0-81c0-7f5b4ed0c5dc,right
038810dd-8c5d-4595-85b1-cdb0b4c6a8a1,right
038c6293-1aac-48ed-9467-4f5d7b62946b,left
038d2f41-393f-4507-81c5-f04b19704c0c,left
0391d715-7703-4d26-8f97-b71d8783af40,left
03a4d5dc-2802-4ff2-bd89-390825703982,left
03ad5e73-f962-4709-b5ab-5dd4e387e7c2,left
03bea815-40d6-4aae-895f-0e6020ebd075,left
03bfa7b6-8c71-46f7-8b89-e877ecc08678,left
03c3b29d-4fc0-446f-8f45-a59c2ca39be7,left
03c3dbe1-91f5-451d-ad86-10939678a3fc,left
03ce3f41-fb5d-4098-a1f6-437d2e872ce5,left
03d1343d-e22f-49ec-813b-f30d47ac9316,left
03d4a914-def0-4172-9c50-4c4ed8550eea,left
